# cobo asad aget ch glob lsb
0 2 2 15 2 2
0 2 2 16 2 2
0 2 2 17 2 2
0 2 2 18 2 2
0 2 2 19 2 1
0 2 2 20 2 2
0 2 2 21 2 0
0 2 2 22 2 15
0 2 2 23 2 15
0 2 2 24 2 0
0 2 2 25 2 15
0 2 2 26 2 15
0 2 2 27 2 15
0 2 2 28 2 15
0 2 2 29 2 15
0 2 2 30 2 0
0 2 2 31 2 15
0 2 2 32 2 15
0 2 2 33 2 15
0 2 2 34 2 15
0 2 2 35 2 15
0 2 2 36 2 15
0 2 2 37 2 15
0 2 2 38 2 15
0 2 2 39 2 15
0 2 2 40 2 15
0 2 2 41 2 15
0 2 2 42 2 15
0 2 2 43 2 15
0 2 2 44 2 15
0 2 2 45 2 15
0 2 2 46 2 15
0 2 2 47 2 15
0 2 2 48 2 15
0 2 2 49 2 15
0 2 2 50 2 15
0 2 2 51 2 15
0 2 2 52 2 15
0 2 2 53 2 15
0 2 2 54 2 15
0 2 2 55 2 15
0 2 2 56 2 15
0 2 2 57 2 15
0 2 2 58 2 15
0 2 2 59 2 15
0 2 2 60 2 15
0 2 2 61 2 15
0 2 2 62 2 15
0 2 2 63 2 15
0 2 2 64 2 15
0 2 2 65 2 15
0 2 2 66 2 15
0 2 2 67 2 15
0 2 3 0 2 0
0 2 3 1 2 0
0 2 3 2 2 0
0 2 3 3 2 0
0 2 3 4 2 0
0 2 3 5 2 1
0 2 3 6 2 0
0 2 3 7 2 0
0 2 3 8 2 0
0 2 3 9 2 0
0 2 3 10 2 1
0 2 3 11 2 15
0 2 3 12 2 1
0 2 3 13 2 1
0 2 3 14 2 1
0 2 3 15 2 2
0 2 3 16 2 1
0 2 3 17 2 1
0 2 3 18 2 2
0 2 3 19 2 1
0 2 3 20 2 1
0 2 3 21 2 0
0 2 3 22 2 15
0 2 3 23 2 15
0 2 3 24 2 0
0 2 3 25 2 0
0 2 3 26 2 15
0 2 3 27 2 15
0 2 3 28 2 15
0 2 3 29 2 15
0 2 3 30 2 0
0 2 3 31 2 15
0 2 3 32 2 15
0 2 3 33 2 15
0 2 3 34 2 15
0 2 3 35 2 15
0 2 3 36 2 15
0 2 3 37 2 15
0 2 3 38 2 15
0 2 3 39 2 15
0 2 3 40 2 15
0 2 3 41 2 15
0 2 3 42 2 15
0 2 3 43 2 15
0 2 3 44 2 15
0 2 3 45 2 15
0 2 3 46 2 15
0 2 3 47 2 15
0 2 3 48 2 15
0 2 3 49 2 15
0 2 3 50 2 15
0 2 3 51 2 15
0 2 3 52 2 15
0 2 3 53 2 15
0 2 3 54 2 15
0 2 3 55 2 15
0 2 3 56 2 15
0 2 3 57 2 15
0 2 3 58 2 15
0 2 3 59 2 15
0 2 3 60 2 15
0 2 3 61 2 15
0 2 3 62 2 15
0 2 3 63 2 15
0 2 3 64 2 15
0 2 3 65 2 15
0 2 3 66 2 15
0 2 3 67 2 15
0 3 0 0 2 2
0 3 0 1 2 0
0 3 0 2 2 0
0 3 0 3 2 0
0 3 0 4 2 0
0 3 0 5 2 0
0 3 0 6 2 0
0 3 0 7 2 0
0 3 0 8 2 1
0 3 0 9 2 0
0 3 0 10 2 1
0 3 0 11 2 15
0 3 0 12 2 1
0 3 0 13 2 1
0 3 0 14 2 0
0 3 0 15 2 1
0 3 0 16 2 1
0 3 0 17 2 0
0 3 0 18 2 0
0 3 0 19 2 0
0 3 0 20 2 0
0 3 0 21 2 0
0 3 0 22 2 15
0 3 0 23 2 0
0 3 0 24 2 0
0 3 0 25 2 0
0 3 0 26 2 15
0 3 0 27 2 15
0 3 0 28 2 15
0 3 0 29 2 15
0 3 0 30 2 15
0 3 0 31 2 15
0 3 0 32 2 15
0 3 0 33 2 15
0 3 0 34 2 15
0 3 0 35 2 15
0 3 0 36 2 15
0 3 0 37 2 15
0 3 0 38 2 15
0 3 0 39 2 15
0 3 0 40 2 15
0 3 0 41 2 15
0 3 0 42 2 15
0 3 0 43 2 15
0 3 0 44 2 15
0 3 0 45 2 15
0 3 0 46 2 15
0 3 0 47 2 15
0 3 0 48 2 15
0 3 0 49 2 15
0 3 0 50 2 15
0 3 0 51 2 15
0 3 0 52 2 15
0 3 0 53 2 15
0 3 0 54 2 15
0 3 0 55 2 15
0 3 0 56 2 15
0 3 0 57 2 15
0 3 0 58 2 15
0 3 0 59 2 15
0 3 0 60 2 15
0 3 0 61 2 15
0 3 0 62 2 15
0 3 0 63 2 15
0 3 0 64 2 15
0 3 0 65 2 15
0 3 0 66 2 15
0 3 0 67 2 15
0 3 1 0 2 0
0 3 1 1 2 0
0 3 1 2 2 0
0 3 1 3 2 0
0 3 1 4 2 0
0 3 1 5 2 1
0 3 1 6 2 1
0 3 1 7 2 1
0 3 1 8 2 1
0 3 1 9 2 1
0 3 1 10 2 1
0 3 1 11 2 15
0 3 1 12 2 1
0 3 1 13 2 1
0 3 1 14 2 1
0 3 1 15 2 1
0 3 1 16 2 0
0 3 1 17 2 0
0 3 1 18 2 0
0 3 1 19 2 0
0 3 1 20 2 0
0 3 1 21 2 0
0 3 1 22 2 15
0 3 1 23 2 1
0 3 1 24 2 1
0 3 1 25 2 1
0 3 1 26 2 15
0 3 1 27 2 15
0 3 1 28 2 15
0 3 1 29 2 15
0 3 1 30 2 15
0 3 1 31 2 15
0 3 1 32 2 15
0 3 1 33 2 15
0 3 1 34 2 15
0 3 1 35 2 15
0 3 1 36 2 15
0 3 1 37 2 15
0 3 1 38 2 15
0 3 1 39 2 15
0 3 1 40 2 15
0 3 1 41 2 15
0 3 1 42 2 15
0 3 1 43 2 15
0 3 1 44 2 15
0 3 1 45 2 15
0 3 1 46 2 15
0 3 1 47 2 15
0 3 1 48 2 15
0 3 1 49 2 15
0 3 1 50 2 15
0 3 1 51 2 15
0 3 1 52 2 15
0 3 1 53 2 15
0 3 1 54 2 15
0 3 1 55 2 15
0 3 1 56 2 15
0 3 1 57 2 15
